URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008822343#4,http://irail.be/stations/NMBS/008822343,4.48991700,51.0298850,Mechelen-Nekkerspoel platform 4,Mechelen-Nekkerspoel perron 4,Malines-Nekkerspoel voie 4,Mechelen-Nekkerspoel gleiss 4,Mechelen-Nekkerspoel platform 4,4
http://irail.be/stations/NMBS/008822343#6,http://irail.be/stations/NMBS/008822343,4.48991700,51.0298850,Mechelen-Nekkerspoel platform 6,Mechelen-Nekkerspoel perron 6,Malines-Nekkerspoel voie 6,Mechelen-Nekkerspoel gleiss 6,Mechelen-Nekkerspoel platform 6,6
http://irail.be/stations/NMBS/008882701#1,http://irail.be/stations/NMBS/008882701,4.23468000,50.5061100,Manage platform 1,Manage perron 1,Manage voie 1,Manage gleiss 1,Manage platform 1,1
http://irail.be/stations/NMBS/008882701#2,http://irail.be/stations/NMBS/008882701,4.23468000,50.5061100,Manage platform 2,Manage perron 2,Manage voie 2,Manage gleiss 2,Manage platform 2,2
http://irail.be/stations/NMBS/008882701#3,http://irail.be/stations/NMBS/008882701,4.23468000,50.5061100,Manage platform 3,Manage perron 3,Manage voie 3,Manage gleiss 3,Manage platform 3,3
http://irail.be/stations/NMBS/008882701#4,http://irail.be/stations/NMBS/008882701,4.23468000,50.5061100,Manage platform 4,Manage perron 4,Manage voie 4,Manage gleiss 4,Manage platform 4,4
http://irail.be/stations/NMBS/008882701#5,http://irail.be/stations/NMBS/008882701,4.23468000,50.5061100,Manage platform 5,Manage perron 5,Manage voie 5,Manage gleiss 5,Manage platform 5,5
http://irail.be/stations/NMBS/008866175#2,http://irail.be/stations/NMBS/008866175,5.53975700,49.7273330,Marbehan platform 2,Marbehan perron 2,Marbehan voie 2,Marbehan gleiss 2,Marbehan platform 2,2
http://irail.be/stations/NMBS/008866175#3,http://irail.be/stations/NMBS/008866175,5.53975700,49.7273300,Marbehan platform 3,Marbehan perron 3,Marbehan voie 3,Marbehan gleiss 3,Marbehan platform 3,3
http://irail.be/stations/NMBS/008864410#1,http://irail.be/stations/NMBS/008864410,5.34629000,50.2224700,Marche-en-Famenne platform 1,Marche-en-Famenne perron 1,Marche-en-Famenne voie 1,Marche-en-Famenne gleiss 1,Marche-en-Famenne platform 1,1
http://irail.be/stations/NMBS/008863461#1,http://irail.be/stations/NMBS/008863461,4.96458000,50.4807400,Marche-les-Dames platform 1,Marche-les-Dames perron 1,Marche-les-Dames voie 1,Marche-les-Dames gleiss 1,Marche-les-Dames platform 1,1
http://irail.be/stations/NMBS/008863461#2,http://irail.be/stations/NMBS/008863461,4.96458000,50.4807400,Marche-les-Dames platform 2,Marche-les-Dames perron 2,Marche-les-Dames voie 2,Marche-les-Dames gleiss 2,Marche-les-Dames platform 2,2
http://irail.be/stations/NMBS/008883220#1,http://irail.be/stations/NMBS/008883220,4.17710200,50.5461750,Marche-lez-Écaussinnes platform 1,Marche-lez-Écaussinnes perron 1,Marche-lez-Écaussinnes voie 1,Marche-lez-Écaussinnes gleiss 1,Marche-lez-Écaussinnes platform 1,1
http://irail.be/stations/NMBS/008883220#2,http://irail.be/stations/NMBS/008883220,4.17710200,50.5461750,Marche-lez-Écaussinnes platform 2,Marche-lez-Écaussinnes perron 2,Marche-lez-Écaussinnes voie 2,Marche-lez-Écaussinnes gleiss 2,Marche-lez-Écaussinnes platform 2,2
http://irail.be/stations/NMBS/008871852#1,http://irail.be/stations/NMBS/008871852,4.38876400,50.3974670,Marchienne-Zone platform 1,Marchienne-Zone perron 1,Marchienne-Zone voie 1,Marchienne-Zone gleiss 1,Marchienne-Zone platform 1,1
http://irail.be/stations/NMBS/008871852#2,http://irail.be/stations/NMBS/008871852,4.38876400,50.3974670,Marchienne-Zone platform 2,Marchienne-Zone perron 2,Marchienne-Zone voie 2,Marchienne-Zone gleiss 2,Marchienne-Zone platform 2,2
http://irail.be/stations/NMBS/008871100#1,http://irail.be/stations/NMBS/008871100,4.39422000,50.4121700,Marchienne-au-Pont platform 1,Marchienne-au-Pont perron 1,Marchienne-au-Pont voie 1,Marchienne-au-Pont gleiss 1,Marchienne-au-Pont platform 1,1
